"name","type","degree_length","room_and_board","in_state_tuition","out_of_state_tuition","early_career_pay","mid_career_pay","stem_percent","total_minority_percentage"
"University of Northern Colorado","Public","4 Year",11204,9786,21474,47700,87100,7,23.52
"Davidson College","Private","4 Year",14372,51447,51447,57300,106900,28,23.45
"University of Puget Sound","Private","4 Year",12540,49776,49776,54200,101300,21,23.43
"Boston College","Private","4 Year",14478,55464,55464,63600,115400,13,23.38
"College of the Holy Cross","Private","4 Year",14520,52770,52770,61800,114600,24,23.36
"Lindenwood University","Private","4 Year",9000,17600,17600,45100,78500,9,23.25
"Clark College","Public","2 Year",0,4287,9718,43500,78400,9,23.21
"Middlebury College","Private","4 Year",15530,54450,54450,60400,109800,19,23.21
"University of Richmond","Private","4 Year",12250,52610,52610,59800,107500,13,23.19
"Hood College","Private","4 Year",12700,39492,39492,47900,82600,32,23.04
"Babson College","Private","4 Year",16312,51104,51104,72000,133800,0,22.99
"Salisbury University","Public","4 Year",11950,9824,19526,50400,89800,12,22.83
"University of Dubuque","Private","4 Year",9930,34110,34110,44200,79700,7,22.82
"Oklahoma Baptist University","Private","4 Year",7350,28258,28258,43900,76600,8,22.79
"Radford University","Public","4 Year",9406,11210,22845,48900,82900,10,22.71
"Creighton University","Private","4 Year",11036,39916,39916,53500,95800,9,22.63
"Goucher College","Private","4 Year",14506,44300,44300,49400,90600,11,22.55
"Kansas Wesleyan University","Private","4 Year",9500,29500,29500,44700,79400,10,22.54
"Newman University","Private","4 Year",8326,30724,30724,48000,88500,11,22.43
"University of Oregon","Public","4 Year",12963,11898,35478,51800,95800,13,22.38
"Oberlin College","Private","4 Year",16338,55054,55054,53100,96800,21,22.36
"Randolph College","Private","4 Year",13580,39585,39585,47000,86100,23,22.08
"Oregon Institute of Technology","Public","4 Year",9058,9987,28056,61200,106800,27,22.00
"Brandeis University","Private","4 Year",15440,55395,55395,60600,113200,29,21.98
"Pacific Northwest College of Art","Private","4 Year",12860,38250,38250,46300,85000,0,21.97
"Oregon State University","Public","4 Year",12855,11166,30141,56200,104800,34,21.88
"University of New Haven","Private","4 Year",15900,39270,39270,52100,94800,25,21.66
"Eastern Connecticut State University","Public","4 Year",13560,11356,22596,49200,87800,14,21.52
"University of Louisville","Public","4 Year",9226,11656,27278,49500,87600,18,21.52
"University of Toledo","Public","4 Year",11434,9795,19133,51800,92500,21,21.41
"Loyola University Maryland","Private","4 Year",14430,49085,49085,59900,111200,8,21.40
"Trevecca Nazarene University","Private","4 Year",8400,25598,25598,45300,81700,5,21.30
"University of Mississippi","Public","4 Year",10696,8660,24614,48500,89100,12,21.22
"Northwestern Oklahoma State University","Public","4 Year",4780,7036,14153,42200,76800,11,21.19
"University of North Carolina School of the Arts","Public","4 Year",9021,9358,25501,46400,82400,0,21.19
"Oregon Health & Science University","Public","4 Year",0,19176,33666,65400,108300,10,21.11
"Wake Forest University","Private","4 Year",16032,53322,53322,60700,114800,13,21.03
"University of Notre Dame","Private","4 Year",15410,53391,53391,67000,130500,28,21.02
"College for Creative Studies","Private","4 Year",8800,44110,44110,51200,89800,0,20.97
"College of Saint Mary","Private","4 Year",7700,20350,20350,43900,77700,9,20.92
"Macalester College","Private","4 Year",12156,54344,54344,53600,100400,31,20.79
"Western Michigan University","Public","4 Year",10143,12483,15373,50900,92200,16,20.78
"Erskine College","Private","4 Year",10900,34560,34560,43500,78000,28,20.72
"University of Detroit Mercy","Private","4 Year",9496,28000,28000,51800,92800,13,20.71
"Northeastern University","Private","4 Year",16880,51387,51387,62500,109700,40,20.68
"University of Montevallo","Public","4 Year",9330,12760,25780,38900,70700,7,20.59
"Presbyterian College","Private","4 Year",10480,38660,38660,48800,89900,14,20.55
"Lenoir-Rhyne University","Private","4 Year",12510,36400,36400,46400,86300,7,20.54
"Bates College","Private","4 Year",15224,53794,53794,59500,111900,23,20.47
"Christopher Newport University","Public","4 Year",11460,14754,27220,50800,87200,25,20.46
"MidAmerica Nazarene University","Private","4 Year",8708,30736,30736,46200,78500,1,20.43
"Saint Louis University","Private","4 Year",12290,43884,43884,54200,95300,13,20.41
"Villanova University","Private","4 Year",14020,53308,53308,65100,119500,23,20.26
"Monmouth University","Private","4 Year",13981,38138,38138,52200,93200,13,20.22
"University of North Alabama","Public","4 Year",9200,10370,18680,43000,75600,6,20.22
"Colby College","Private","4 Year",14190,55210,55210,59200,103300,25,20.19
