"name","type","state_code","degree_length","room_and_board","in_state_tuition","out_of_state_tuition","total_minority_percentage"
"Cochran School of Nursing","Private","NY","2 Year",0,11302,11302,52.69
"Nassau Community College","Public","NY","2 Year",0,5880,11230,52.62
"University of Baltimore","Public","MD","4 Year",0,8958,21076,52.57
"Victoria College","Public","TX","2 Year",0,2790,5040,52.41
"Diablo Valley College","Public","CA","2 Year",0,1390,9160,52.37
"Sage College","For Profit","CA","2 Year",0,9400,9400,52.33
"University of Texas of the Permian Basin","Public","TX","4 Year",9846,7124,19574,52.32
"Manor College","Private","PA","2 Year",7729,17028,17028,52.31
"Community College of Baltimore County","Public","MD","2 Year",0,4896,11736,52.28
"Georgia Military College","Public","GA","2 Year",0,6120,6120,52.04
"Pine Manor College","Private","MA","4 Year",13830,31660,31660,52.04
"Barry University","Private","FL","4 Year",11100,29850,29850,52.02
"Resurrection University","Private","IL","4 Year",0,26390,26390,51.97
"Texas Woman's University","Public","TX","4 Year",8181,9368,21818,51.97
"Ashford University","For Profit","CA","4 Year",0,12160,12160,51.9
"Elgin Community College","Public","IL","2 Year",0,3972,14946,51.88
"Cuyamaca College","Public","CA","2 Year",0,1428,9168,51.84
"Marymount California University","Private","CA","4 Year",14666,36134,36134,51.62
"Galveston College","Public","TX","2 Year",0,2050,4600,51.61
"San Diego State University","Public","CA","4 Year",16735,7488,19368,51.59
"Howard College","Public","TX","2 Year",4834,2560,5420,51.49
"East Georgia State College","Public","GA","2 Year",9084,3666,11412,51.37
"International College of Broadcasting","For Profit","OH","2 Year",0,31950,31950,51.35
"Phillips Community College of the University of Arkansas","Public","AR","2 Year",0,2910,4740,51.34
"Hodges University","Private","FL","4 Year",0,17600,17600,51.32
"Chattahoochee Valley Community College","Public","AL","2 Year",0,4560,8670,51.3
"Bossier Parish Community College","Public","LA","2 Year",0,4283,8960,51.29
"California Baptist University","Private","CA","4 Year",12160,33478,33478,51.25
"Kean University","Public","NJ","4 Year",14470,12348,19383,51.24
"Limestone College","Private","SC","4 Year",9765,26000,26000,51.24
"Wilson Community College","Public","NC","2 Year",0,2415,8175,51.15
"San Juan College","Public","NM","2 Year",0,1582,4126,51.1
"Governors State University","Public","IL","4 Year",10346,12196,21586,51.09
"Dodge City Community College","Public","KS","2 Year",6650,2840,3680,50.85
"Tidewater Community College","Public","VA","2 Year",0,5561,11489,50.85
"Thomas Nelson Community College","Public","VA","2 Year",0,4806,10734,50.8
"Milwaukee Area Technical College","Public","WI","2 Year",0,4515,6528,50.73
"National University","Private","CA","4 Year",0,16710,16710,50.59
"New Mexico State University at Alamogordo","Public","NM","2 Year",0,2064,5376,50.55
"Florida Atlantic University","Public","FL","4 Year",11896,6039,21595,50.39
"Otis College of Art and Design","Private","CA","4 Year",15100,44580,44580,50.35
"Faulkner University","Private","AL","4 Year",7750,21690,21690,50.19
"Nevada State College","Public","NV","4 Year",0,5438,17458,50.01
"California Christian College","Private","CA","4 Year",4950,9570,9570,50.0
"West Valley College","Public","CA","2 Year",0,1418,9158,49.98
"East Mississippi Community College","Public","MS","2 Year",4800,3440,6440,49.94
"Nunez Community College","Public","LA","2 Year",0,4175,7674,49.75
"Baton Rouge Community College","Public","LA","2 Year",0,3981,8059,49.72
"Holmes Community College","Public","MS","2 Year",3080,3110,5690,49.62
